HCP_ID,HCP_Name,Specialty,Territory,Segment,Market_Potential,Prior_Period_Sales,Current_Period_Sales,Sales_Target,Target_Attainment_Pct,Sales_Growth_Pct,Rep_Calls_Last_90_Days,Digital_Engagement_Score,Days_Since_Last_Visit,Competitor_Share_Pct,Formulary_Access,Patient_Growth_Pct
HCP1023,Dr. W23,Cardiologist,North,Low,237,65,82,74,110.8,26.2,8,36,24,29.8,Medium,0.1
HCP1024,Dr. X24,Neurologist,North,High,332,180,173,197,87.8,-3.9,8,94,54,51.8,Medium,-0.066
HCP1025,Dr. Y25,Oncologist,East,Medium,352,123,141,151,93.4,14.6,6,92,42,58.6,Medium,0.203
HCP1026,Dr. Z26,Dermatologist,West,Medium,392,55,66,67,98.5,20,11,86,15,32.5,High,0.102
HCP1027,Dr. A27,Diabetologist,North,High,269,144,176,182,96.7,22.2,0,51,42,59.4,High,-0.056
HCP1028,Dr. B28,Cardiologist,Central,Medium,187,24,25,30,83.3,4.2,3,93,47,52,High,-0.054
HCP1029,Dr. C29,Oncologist,West,Medium,226,164,164,190,86.3,0,9,54,90,11.5,Low,0.193
HCP1030,Dr. D30,Cardiologist,West,Medium,137,20,20,22,90.9,0,5,47,89,49.6,High,0.234
HCP1031,Dr. E31,Dermatologist,Central,Medium,155,105,85,113,75.2,-19,4,46,62,52.2,Medium,-0.066
HCP1032,Dr. F32,Dermatologist,West,High,301,42,35,54,64.8,-16.7,3,33,52,32.5,Medium,0.076
HCP1033,Dr. G33,Cardiologist,Central,Medium,95,43,55,55,100,27.9,11,31,84,44.5,High,0.125
HCP1034,Dr. H34,Cardiologist,Central,Medium,180,31,31,40,77.5,0,9,42,44,26.4,High,0.032
HCP1035,Dr. I35,Dermatologist,East,Medium,294,109,105,137,76.6,-3.7,9,33,7,17.1,Medium,0.12
HCP1036,Dr. J36,Dermatologist,West,Medium,328,183,163,226,72.1,-10.9,2,48,36,32.3,Medium,0.019
HCP1037,Dr. K37,Dermatologist,West,Medium,92,42,49,45,108.9,16.7,0,61,84,59.6,High,0.213
HCP1038,Dr. L38,Cardiologist,West,High,312,95,93,122,76.2,-2.1,3,82,16,36.9,High,0.015
HCP1039,Dr. M39,Diabetologist,Central,Low,230,163,195,175,111.4,19.6,9,57,39,69.8,High,0.158
HCP1040,Dr. N40,Dermatologist,East,Medium,318,95,109,120,90.8,14.7,0,6,46,52.1,High,0.188
HCP1041,Dr. O41,Oncologist,South,High,244,185,239,212,112.7,29.2,0,85,17,66.8,Low,0.164
HCP1042,Dr. P42,Neurologist,East,Low,261,186,188,237,79.3,1.1,6,66,45,10.7,Medium,-0.08
HCP1043,Dr. Q43,Neurologist,Central,Low,80,22,24,28,85.7,9.1,11,24,56,41.7,High,0.181
HCP1044,Dr. R44,Dermatologist,Central,High,228,99,105,129,81.4,6.1,4,35,19,68.2,Medium,0.12
HCP1045,Dr. S45,Cardiologist,Central,Medium,338,163,190,208,91.3,16.6,9,95,16,63.4,Medium,0.117
HCP1046,Dr. T46,Oncologist,West,Medium,215,205,188,229,82.1,-8.3,4,40,64,37.2,High,-0.002
HCP1047,Dr. U47,Dermatologist,West,Medium,319,65,54,84,64.3,-16.9,2,68,47,65.2,High,0.207
HCP1048,Dr. V48,Diabetologist,Central,High,368,84,87,109,79.8,3.6,10,84,26,32.9,Low,0.195
HCP1049,Dr. W49,Dermatologist,North,Medium,178,148,119,158,75.3,-19.6,11,80,69,70,Low,0.094
HCP1050,Dr. X50,Dermatologist,Central,Low,162,104,107,113,94.7,2.9,2,44,77,22.4,Low,0.165
HCP1051,Dr. Y51,Oncologist,West,Medium,118,45,47,53,88.7,4.4,2,49,12,59,Low,-0.069
HCP1052,Dr. Z52,Diabetologist,North,Medium,334,322,325,401,81,0.9,1,74,51,64.2,Medium,0.243
HCP1053,Dr. A53,Oncologist,South,Medium,414,366,309,451,68.5,-15.6,8,37,88,64.6,High,0.083
HCP1054,Dr. B54,Cardiologist,Central,Low,217,203,248,252,98.4,22.2,3,87,69,68.8,Medium,0.015
HCP1055,Dr. C55,Diabetologist,East,High,450,130,112,141,79.4,-13.8,10,15,8,20.8,Medium,0.044
HCP1056,Dr. D56,Diabetologist,East,Medium,140,70,57,76,75,-18.6,11,41,61,11.9,Medium,0.087
HCP1057,Dr. E57,Neurologist,South,Low,157,64,61,69,88.4,-4.7,8,85,56,62.4,Low,-0.079
HCP1058,Dr. F58,Oncologist,West,Low,192,118,105,130,80.8,-11,7,85,14,47.1,High,0.062
HCP1059,Dr. G59,Dermatologist,South,High,391,390,451,497,90.7,15.6,10,17,38,42,High,-0.006
HCP1060,Dr. H60,Dermatologist,West,High,352,250,211,296,71.3,-15.6,8,16,13,45.6,Medium,0.176
HCP1061,Dr. I61,Dermatologist,South,High,190,53,57,63,90.5,7.5,11,82,42,27,High,0.126
HCP1062,Dr. J62,Oncologist,East,Medium,444,248,314,261,120.3,26.6,4,69,70,24.8,High,-0.035
HCP1063,Dr. K63,Cardiologist,East,Medium,119,55,71,70,101.4,29.1,3,91,75,61.9,Medium,-0.01
HCP1064,Dr. L64,Diabetologist,North,Medium,282,45,42,56,75,-6.7,5,25,68,35.5,Medium,-0.015
HCP1065,Dr. M65,Cardiologist,South,Low,117,56,59,72,81.9,5.4,12,2,33,32.2,Medium,0.092
HCP1066,Dr. N66,Oncologist,West,High,247,149,126,162,77.8,-15.4,8,16,9,45.7,Medium,0.044
HCP1067,Dr. O67,Cardiologist,Central,Low,315,156,141,179,78.8,-9.6,0,39,64,44.5,Medium,-0.051
HCP1068,Dr. P68,Cardiologist,Central,High,365,310,273,389,70.2,-11.9,10,77,26,64.5,High,0.106
HCP1069,Dr. Q69,Oncologist,East,Medium,432,42,43,50,86,2.4,0,96,66,42.6,Low,0.118
HCP1070,Dr. R70,Diabetologist,East,Medium,121,83,73,105,69.5,-12,0,93,27,57.3,High,0.009
HCP1071,Dr. S71,Dermatologist,East,Medium,333,215,233,267,87.3,8.4,10,73,38,42.2,High,0.06
HCP1072,Dr. T72,Neurologist,Central,Medium,236,66,66,82,80.5,0,10,94,36,42.6,High,0.021
HCP1073,Dr. U73,Diabetologist,South,Medium,213,42,43,54,79.6,2.4,11,89,13,18.3,High,-0.01
HCP1074,Dr. V74,Neurologist,East,Low,435,343,410,362,113.3,19.5,9,91,31,46.4,High,0.158
HCP1075,Dr. W75,Cardiologist,East,Medium,381,120,155,151,102.6,29.2,5,86,57,29.9,High,-0.02
HCP1076,Dr. X76,Dermatologist,North,Medium,281,136,150,147,102,10.3,3,24,90,65.2,High,0.021
HCP1077,Dr. Y77,Oncologist,East,Medium,443,270,235,295,79.7,-13,6,51,70,12,High,0.173
HCP1078,Dr. Z78,Diabetologist,South,High,128,90,116,105,110.5,28.9,3,85,63,69.8,Medium,0.108
HCP1079,Dr. A79,Dermatologist,East,High,290,51,53,62,85.5,3.9,12,29,16,43.9,High,0.171
HCP1080,Dr. B80,Oncologist,South,Medium,192,133,139,165,84.2,4.5,3,0,8,61.7,Low,0.031
HCP1081,Dr. C81,Oncologist,East,Medium,459,106,137,134,102.2,29.2,6,92,8,11.6,High,-0.019
HCP1082,Dr. D82,Diabetologist,Central,Medium,328,258,280,328,85.4,8.5,11,7,34,58.3,Low,0.111
HCP1083,Dr. E83,Diabetologist,West,Low,261,232,233,262,88.9,0.4,1,6,74,15.1,High,-0.091
HCP1084,Dr. F84,Dermatologist,East,Medium,267,101,126,127,99.2,24.8,3,10,2,31.8,High,0.191
HCP1085,Dr. G85,Dermatologist,North,Medium,434,361,430,389,110.5,19.1,7,58,87,58,High,-0.092
HCP1086,Dr. H86,Cardiologist,South,Medium,438,220,191,277,69,-13.2,3,25,58,64,Medium,0.139
HCP1087,Dr. I87,Oncologist,Central,Low,120,57,48,66,72.7,-15.8,5,75,87,16.4,High,-0.008
HCP1088,Dr. J88,Diabetologist,South,Medium,388,192,234,221,105.9,21.9,9,45,64,31.2,Low,-0.035
HCP1089,Dr. K89,Dermatologist,West,Low,108,40,49,46,106.5,22.5,3,58,39,46.6,Low,0.039
HCP1090,Dr. L90,Dermatologist,North,Medium,318,167,147,210,70,-12,0,61,73,56.3,High,-0.074
HCP1091,Dr. M91,Cardiologist,North,Medium,183,61,63,65,96.9,3.3,1,100,44,68.1,High,-0.064
HCP1092,Dr. N92,Dermatologist,West,Low,384,36,46,42,109.5,27.8,11,61,80,62.4,Medium,0.182
HCP1093,Dr. O93,Dermatologist,North,Low,347,162,186,172,108.1,14.8,9,46,32,52.3,Low,-0.037
HCP1094,Dr. P94,Dermatologist,South,Medium,414,136,159,149,106.7,16.9,7,58,87,57.7,Medium,-0.081
HCP1095,Dr. Q95,Diabetologist,South,Medium,182,36,41,41,100,13.9,11,59,45,14.6,Medium,0.019
HCP1096,Dr. R96,Neurologist,North,Medium,488,416,463,529,87.5,11.3,9,65,55,37.7,Low,-0.1
HCP1097,Dr. S97,Dermatologist,Central,Medium,175,142,184,162,113.6,29.6,0,92,62,38.8,Medium,0.206
HCP1098,Dr. T98,Cardiologist,South,High,438,359,420,398,105.5,17,2,44,14,27.8,Low,0.15
HCP1099,Dr. U99,Dermatologist,North,Medium,152,68,68,74,91.9,0,10,36,61,25.5,Medium,0.244
HCP1100,Dr. V100,Diabetologist,Central,Low,278,71,59,82,72,-16.9,12,62,54,46.5,Medium,-0.019
